Date,DHC,FMC,REE
20000728,,,0.9922
20000731,,,1.0108
20000802,,,1.0294
20000804,,,1.048
20000807,,,1.0666
20000809,,,1.0852
20000811,,,1.1038
20000814,,,1.1224
20000816,,,1.141
20000818,,,1.1596
20000821,,,1.1782
20000823,,,1.1968
20000825,,,1.1782
20000828,,,1.1596
20000830,,,1.141
20000901,,,1.1224
20000906,,,1.1038
20000908,,,1.0852
20000911,,,1.1038
20000913,,,1.1224
20000915,,,1.141
20000918,,,1.1224
20000920,,,1.141
20000922,,,1.1224
20000925,,,1.1224
20000927,,,1.1224
20000929,,,1.1286
20001002,,,1.1286
20001004,,,1.1286
20001006,,,1.1286
20001009,,,1.1472
20001011,,,1.1658
20001013,,,1.1844
20001016,,,1.203
20001018,,,1.2216
20001020,,,1.2402
20001023,,,1.265
20001025,,,1.2898
20001027,,,1.3146
20001030,,,1.3146
20001101,,,1.3394
20001103,,,1.3642
20001106,,,1.3891
20001108,,,1.4139
20001110,,,1.4387
20001113,,,1.4635
20001115,,,1.4883
20001117,,,1.5131
20001120,,,1.5379
20001122,,,1.5627
20001124,,,1.5937
20001127,,,1.6247
20001129,,,1.6557
20001201,,,1.6867
20001204,,,1.7177
20001206,,,1.7487
20001208,,,1.7797
20001211,,,1.8107
20001213,,,1.8417
20001215,,,1.8727
20001218,,,1.9099
20001220,,,1.9472
20001222,,,1.9844
20001225,,,2.0216
20001227,,,1.9968
20001229,,,2.034
20010103,,,2.0712
20010105,,,2.1084
20010108,,,2.1456
20010110,,,2.1828
20010112,,,2.2262
20010115,,,2.2696
20010117,,,2.313
20010119,,,2.3564
20010129,,,2.3998
20010131,,,2.4432
20010202,,,2.4867
20010205,,,2.5363
20010207,,,2.5859
20010209,,,2.5363
20010212,,,2.4867
20010214,,,2.437
20010216,,,2.3936
20010219,,,2.3502
20010221,,,2.3936
20010223,,,2.437
20010226,,,2.4805
20010228,,,2.4308
20010302,,,2.4743
20010305,,,2.4308
20010307,,,2.3874
20010309,,,2.4308
20010312,,,2.4743
20010314,,,2.4929
20010316,,,2.4929
20010319,,,2.4929
20010321,,,2.4929
20010323,,,2.4432
20010326,,,2.406
20010328,,,2.4494
20010330,,,2.4929
20010402,,,2.5425
20010404,,,2.5921
20010406,,,2.6417
20010409,,,2.6913
20010411,,,2.7409
20010413,,,2.7905
20010416,,,2.8463
20010418,,,2.9021
20010420,,,2.9579
20010423,,,2.9021
20010425,,,2.9579
20010427,,,3.0137
20010502,,,3.0696
20010504,,,3.1006
20010507,,,3.1626
20010509,,,3.2246
20010511,,,3.2866
20010514,,,3.3486
20010516,,,3.4106
20010518,,,3.4726
20010521,,,3.5346
20010523,,,3.5967
20010525,,,3.6587
20010528,,,3.7207
20010530,,,3.7827
20010601,,,3.8447
20010604,,,3.9067
20010606,,,3.9687
20010608,,,4.0307
20010611,,,4.0927
20010613,,,4.3718
20010615,,,4.6508
20010618,,,4.9609
20010620,,,5.302
20010622,,,5.643
20010625,,,5.8911
20010627,,,5.488
20010629,,,5.1159
20010702,,,4.7749
20010704,,,5.0849
20010706,,,4.9609
20010709,,,4.6198
20010711,,,4.2788
20010713,,,3.9997
20010716,,,3.9687
20010718,,,4.2168
20010720,,,4.4958
20010723,,,4.1858
20010725,,,4.3408
20010727,,,4.2788
20010730,,,4.0307
20010801,,,3.7517
20010803,,,3.5036
20010806,,,3.2866
20010808,,,3.5036
20010810,,,3.7207
20010813,,,3.4726
20010815,,,3.2556
20010817,,,3.0324
20010820,,,2.8277
20010822,,,3.0199
20010824,,,2.8091
20010827,,,2.6169
20010829,,,2.437
20010831,,,2.6045
20010905,,,2.7843
20010907,,,2.7843
20010910,,,2.5921
20010912,,,2.5983
20010914,,,2.437
20010917,,,2.437
20010919,,,2.4805
20010921,,,2.4805
20010924,,,2.3254
20010926,,,2.2572
20010928,,,2.2014
20011001,,,2.0526
20011003,,,1.9099
20011005,,,1.7797
20011008,,,1.9037
20011010,,,1.941
20011012,,,1.9782
20011015,,,2.0154
20011017,,,2.0526
20011019,,,2.0898
20011022,,,2.127
20011024,,,2.1642
20011026,,,2.2014
20011029,,,2.2448
20011031,,,2.2882
20011102,,,2.3316
20011105,,,2.375
20011107,,,2.4184
20011109,,,2.4618
20011112,,,2.5053
20011114,,,2.5549
20011116,,,2.6045
20011119,,,2.6541
20011121,,,2.6045
20011123,,,2.5549
20011126,,,2.6045
20011128,,,2.5549
20011130,,,2.5053
20011203,,,2.4556
20011205,,,2.4122
20011207,,,2.3688
20011210,,,2.3254
20011212,,,2.282
20011214,,,2.2386
20011217,,,2.1952
20011219,,,2.1518
20011221,,,2.189
20011224,,,2.1456
20011226,,,2.1084
20011228,,,2.0774
20011231,,,2.0402
20020102,,,2.003
20020104,,,1.9658
20020107,,,1.9286
20020109,,,1.8913
20020111,,,1.8541
20020114,,,1.8231
20020116,,,1.7921
20020118,,,1.7611
20020121,,,1.7301
20020123,,,1.7611
